trainRate mediaAcertos assertividade
0.1 87.06666666666666 96.74074074074073
0.2 78.26666666666667 97.83333333333334
0.3 68.66666666666667 98.0952380952381
0.4 59.36666666666667 98.94444444444444
0.5 49.766666666666666 99.53333333333335
0.6 39.63333333333333 99.08333333333334
0.7 29.833333333333332 99.44444444444443
0.8 19.9 99.49999999999999
0.9 10.0 100.0
