epochs mediaAcertos assertividade
10 45.86666666666667 0.9173333333333333
20 49.3 0.986
40 49.3 0.986
60 49.5 0.99
80 49.333333333333336 0.9866666666666667
100 49.6 0.992
120 49.93333333333333 0.9986666666666666
140 49.333333333333336 0.9866666666666667
160 49.4 0.988
180 49.03333333333333 0.9806666666666666
200 49.53333333333333 0.9906666666666666
1000 49.63333333333333 0.9926666666666667
5000 49.5 0.99
10000 49.266666666666666 0.9853333333333333
100000 49.5 0.99
